Episode 2, Reward: -0.41, Average Reward: -0.07, Loss: 0.21, value_loss: 0.38
Episode 3, Reward: -0.72, Average Reward: -0.12, Loss: 0.35, value_loss: 0.03
Episode 5, Reward: -0.35, Average Reward: -0.06, Loss: -0.60, value_loss: 1.18
Episode 6, Reward: -0.72, Average Reward: -0.12, Loss: 0.45, value_loss: 0.02
Episode 7, Reward: -0.65, Average Reward: -0.11, Loss: 0.24, value_loss: 0.01
Episode 8, Reward: -0.57, Average Reward: -0.10, Loss: 0.12, value_loss: 0.19
Episode 9, Reward: -0.69, Average Reward: -0.12, Loss: 0.23, value_loss: 0.03
Episode 11, Reward: -0.60, Average Reward: -0.10, Loss: 0.38, value_loss: 0.27
Episode 13, Reward: -0.63, Average Reward: -0.10, Loss: 0.52, value_loss: 0.11
Episode 15, Reward: -0.71, Average Reward: -0.12, Loss: 0.31, value_loss: 0.09
Episode 17, Reward: -0.49, Average Reward: -0.08, Loss: 0.03, value_loss: 0.12
Episode 21, Reward: -0.64, Average Reward: -0.11, Loss: 0.47, value_loss: 0.01
Episode 22, Reward: -0.27, Average Reward: -0.05, Loss: 1.22, value_loss: 0.94
Episode 23, Reward: -0.33, Average Reward: -0.05, Loss: 0.72, value_loss: 0.33
Episode 24, Reward: -0.63, Average Reward: -0.10, Loss: 0.35, value_loss: 0.25
Episode 25, Reward: -0.70, Average Reward: -0.12, Loss: 0.23, value_loss: 0.02
Episode 26, Reward: -0.73, Average Reward: -0.12, Loss: 0.75, value_loss: 0.03
Episode 27, Reward: 0.18, Average Reward: 0.03, Loss: 0.83, value_loss: 0.85
Episode 28, Reward: -0.26, Average Reward: -0.04, Loss: 0.92, value_loss: 0.35
Episode 29, Reward: -0.59, Average Reward: -0.10, Loss: 0.45, value_loss: 0.11
Episode 31, Reward: -0.32, Average Reward: -0.05, Loss: 0.94, value_loss: 0.34
Episode 32, Reward: -0.59, Average Reward: -0.10, Loss: 0.21, value_loss: 0.13
Episode 37, Reward: -0.36, Average Reward: -0.06, Loss: 1.07, value_loss: 0.44
Episode 38, Reward: -0.66, Average Reward: -0.11, Loss: 0.42, value_loss: 0.04
Episode 40, Reward: -0.50, Average Reward: -0.08, Loss: 0.74, value_loss: 0.10
Episode 44, Reward: -0.30, Average Reward: -0.05, Loss: 0.55, value_loss: 0.28
Episode 47, Reward: -0.54, Average Reward: -0.09, Loss: 0.33, value_loss: 0.31
Episode 48, Reward: -0.69, Average Reward: -0.11, Loss: 0.47, value_loss: 0.03
Episode 51, Reward: -0.24, Average Reward: -0.04, Loss: 0.56, value_loss: 0.34
Episode 52, Reward: -0.42, Average Reward: -0.07, Loss: 0.66, value_loss: 0.44
Episode 53, Reward: -0.62, Average Reward: -0.10, Loss: 0.26, value_loss: 0.07
Episode 54, Reward: -0.65, Average Reward: -0.11, Loss: 0.25, value_loss: 0.13
Episode 57, Reward: -0.73, Average Reward: -0.12, Loss: 0.29, value_loss: 0.02
Episode 59, Reward: -0.62, Average Reward: -0.10, Loss: 0.44, value_loss: 0.13
Episode 61, Reward: -0.33, Average Reward: -0.06, Loss: 0.45, value_loss: 0.38
Episode 62, Reward: -0.57, Average Reward: -0.09, Loss: 0.61, value_loss: 0.21
Episode 63, Reward: -0.39, Average Reward: -0.07, Loss: 0.30, value_loss: 1.03
Episode 67, Reward: -0.47, Average Reward: -0.08, Loss: 0.27, value_loss: 0.34
Episode 68, Reward: -0.58, Average Reward: -0.10, Loss: 0.28, value_loss: 0.16
Episode 69, Reward: -0.63, Average Reward: -0.10, Loss: 0.38, value_loss: 0.09
Episode 70, Reward: -0.65, Average Reward: -0.11, Loss: 0.12, value_loss: 0.05
