Episode 30001, Reward: -85.00, Average Reward: -42.50, Loss: 8.09, value_loss: 20.83
Episode 30003, Reward: -222.00, Average Reward: -55.50, Loss: 4.28, value_loss: 36.96
Episode 30004, Reward: -103.73, Average Reward: -17.29, Loss: 20.34, value_loss: 40.77
Episode 30007, Reward: -15.70, Average Reward: -3.92, Loss: 473.14, value_loss: 939.35
Episode 30008, Reward: -267.00, Average Reward: -33.38, Loss: -25.87, value_loss: 66.75
Episode 30010, Reward: -20.54, Average Reward: -2.57, Loss: 43.71, value_loss: 77.48
Episode 30011, Reward: 34.50, Average Reward: 4.93, Loss: 377.32, value_loss: 744.03
Episode 30012, Reward: -61.23, Average Reward: -15.31, Loss: 80.03, value_loss: 82.44
Episode 30015, Reward: -1.90, Average Reward: -0.19, Loss: 444.76, value_loss: 894.65
Episode 30017, Reward: -343.40, Average Reward: -68.68, Loss: 2.50, value_loss: 37.08
Episode 30018, Reward: 31.96, Average Reward: 3.55, Loss: 28.72, value_loss: 88.60
Episode 30019, Reward: -479.40, Average Reward: -79.90, Loss: -5.67, value_loss: 12.81
Episode 30021, Reward: 79.20, Average Reward: 9.90, Loss: 320.29, value_loss: 644.79
Episode 30024, Reward: -97.00, Average Reward: -24.25, Loss: 21.61, value_loss: 31.87
Episode 30025, Reward: -294.70, Average Reward: -29.47, Loss: 10.96, value_loss: 19.70
Episode 30027, Reward: -6.65, Average Reward: -0.67, Loss: 211.94, value_loss: 408.48
Episode 30028, Reward: 30.64, Average Reward: 3.06, Loss: 138.60, value_loss: 267.33
Episode 30029, Reward: -324.29, Average Reward: -36.03, Loss: 14.20, value_loss: 64.46
Episode 30030, Reward: 44.57, Average Reward: 4.46, Loss: -74.55, value_loss: 85.74
Episode 30031, Reward: -432.30, Average Reward: -43.23, Loss: 5.45, value_loss: 34.73
Episode 30032, Reward: 14.50, Average Reward: 3.62, Loss: 223.01, value_loss: 415.77
Episode 30033, Reward: -162.60, Average Reward: -16.26, Loss: 12.24, value_loss: 50.00
Episode 30034, Reward: 77.20, Average Reward: 15.44, Loss: 646.18, value_loss: 1270.41
Episode 30037, Reward: -124.22, Average Reward: -20.70, Loss: 62.60, value_loss: 61.25
Episode 30039, Reward: 51.40, Average Reward: 17.13, Loss: 635.26, value_loss: 1246.09
Episode 30041, Reward: 42.30, Average Reward: 6.04, Loss: 458.57, value_loss: 893.22
Episode 30042, Reward: 18.54, Average Reward: 3.71, Loss: 260.70, value_loss: 488.73
Episode 30048, Reward: -59.42, Average Reward: -9.90, Loss: 44.47, value_loss: 98.40
Episode 30050, Reward: -30.40, Average Reward: -3.38, Loss: 88.78, value_loss: 166.10
Episode 30052, Reward: 15.10, Average Reward: 5.03, Loss: 624.54, value_loss: 1263.47
Episode 30053, Reward: -162.20, Average Reward: -40.55, Loss: 0.86, value_loss: 29.05
Episode 30054, Reward: -398.53, Average Reward: -44.28, Loss: 6.85, value_loss: 46.25
Episode 30058, Reward: 39.90, Average Reward: 6.65, Loss: 442.66, value_loss: 914.93
Episode 30059, Reward: 13.27, Average Reward: 1.66, Loss: 498.07, value_loss: 975.02
Episode 30060, Reward: -70.90, Average Reward: -23.63, Loss: 6.26, value_loss: 11.54
Episode 30061, Reward: -106.82, Average Reward: -11.87, Loss: 45.83, value_loss: 133.19
Episode 30064, Reward: 81.30, Average Reward: 13.55, Loss: 701.93, value_loss: 1305.32
Episode 30065, Reward: 16.40, Average Reward: 2.73, Loss: 417.90, value_loss: 846.16
Episode 30066, Reward: -225.00, Average Reward: -56.25, Loss: 14.08, value_loss: 63.11
Episode 30067, Reward: -328.77, Average Reward: -41.10, Loss: 7.76, value_loss: 23.31
Episode 30073, Reward: -426.90, Average Reward: -47.43, Loss: -53.20, value_loss: 95.94
Episode 30074, Reward: -78.10, Average Reward: -9.76, Loss: 397.28, value_loss: 781.62
Episode 30075, Reward: -152.60, Average Reward: -76.30, Loss: 3.76, value_loss: 19.80
Episode 30076, Reward: 70.40, Average Reward: 17.60, Loss: 603.28, value_loss: 1181.32
Episode 30078, Reward: 4.82, Average Reward: 0.48, Loss: 45.55, value_loss: 84.28
Episode 30079, Reward: 42.26, Average Reward: 4.70, Loss: 421.15, value_loss: 843.00
Episode 30080, Reward: 10.30, Average Reward: 5.15, Loss: 320.78, value_loss: 618.98
Episode 30082, Reward: -272.79, Average Reward: -34.10, Loss: 1.68, value_loss: 54.68
Episode 30083, Reward: 41.60, Average Reward: 5.94, Loss: 531.18, value_loss: 1074.34
Episode 30084, Reward: -221.76, Average Reward: -22.18, Loss: 21.45, value_loss: 194.51
Episode 30085, Reward: -406.25, Average Reward: -45.14, Loss: 2.03, value_loss: 53.24
Episode 30086, Reward: -147.20, Average Reward: -36.80, Loss: 4.94, value_loss: 17.06
Episode 30087, Reward: -77.00, Average Reward: -7.70, Loss: 9.34, value_loss: 50.65
Episode 30095, Reward: -24.50, Average Reward: -2.45, Loss: 50.43, value_loss: 54.36
Episode 30096, Reward: 107.69, Average Reward: 17.95, Loss: 587.47, value_loss: 1140.11
Episode 30098, Reward: -73.80, Average Reward: -10.54, Loss: 122.53, value_loss: 223.16
Episode 30099, Reward: 29.70, Average Reward: 9.90, Loss: 430.75, value_loss: 852.10
Episode 30102, Reward: 24.80, Average Reward: 12.40, Loss: 770.83, value_loss: 1569.07
Episode 30104, Reward: -211.20, Average Reward: -42.24, Loss: 1.92, value_loss: 14.53
Episode 30105, Reward: -587.20, Average Reward: -73.40, Loss: -6.80, value_loss: 5.97
Episode 30110, Reward: -390.70, Average Reward: -43.41, Loss: 2.43, value_loss: 24.96
Episode 30112, Reward: 7.88, Average Reward: 1.58, Loss: 671.25, value_loss: 1474.70
Episode 30113, Reward: -195.34, Average Reward: -39.07, Loss: 79.68, value_loss: 99.15
Episode 30115, Reward: -105.70, Average Reward: -35.23, Loss: 6.80, value_loss: 32.40
Episode 30117, Reward: -574.40, Average Reward: -63.82, Loss: 2.25, value_loss: 25.29
Episode 30120, Reward: -285.20, Average Reward: -71.30, Loss: -2.34, value_loss: 13.71
Episode 30121, Reward: -71.80, Average Reward: -35.90, Loss: 20.11, value_loss: 52.40
Episode 30122, Reward: 9.60, Average Reward: 1.60, Loss: 433.57, value_loss: 847.94
Episode 30125, Reward: 28.80, Average Reward: 4.11, Loss: 525.07, value_loss: 1044.89
Episode 30127, Reward: -77.20, Average Reward: -19.30, Loss: 318.94, value_loss: 635.71
Episode 30128, Reward: -183.22, Average Reward: -22.90, Loss: 5.55, value_loss: 38.20
Episode 30134, Reward: -448.82, Average Reward: -56.10, Loss: -0.61, value_loss: 14.38
Episode 30137, Reward: -251.90, Average Reward: -50.38, Loss: 0.47, value_loss: 39.84
Episode 30139, Reward: -195.00, Average Reward: -48.75, Loss: 10.74, value_loss: 23.70
Episode 30140, Reward: -13.00, Average Reward: -6.50, Loss: 625.83, value_loss: 1250.37
Episode 30142, Reward: -626.50, Average Reward: -69.61, Loss: -3.85, value_loss: 23.28
Episode 30146, Reward: -169.00, Average Reward: -18.78, Loss: -19.74, value_loss: 78.86
Episode 30150, Reward: -432.80, Average Reward: -61.83, Loss: -0.24, value_loss: 12.92
Episode 30151, Reward: 21.49, Average Reward: 2.39, Loss: 355.36, value_loss: 708.31
Episode 30156, Reward: -69.50, Average Reward: -23.17, Loss: 2.68, value_loss: 31.63
Episode 30160, Reward: 15.50, Average Reward: 3.88, Loss: 443.20, value_loss: 859.53
Episode 30163, Reward: -33.78, Average Reward: -3.38, Loss: 106.88, value_loss: 208.69
Episode 30166, Reward: -115.70, Average Reward: -38.57, Loss: 16.99, value_loss: 53.36
Episode 30167, Reward: -232.90, Average Reward: -25.88, Loss: 4.75, value_loss: 18.96
Episode 30169, Reward: -170.60, Average Reward: -42.65, Loss: 0.18, value_loss: 37.14
Episode 30170, Reward: -175.90, Average Reward: -19.54, Loss: 2.59, value_loss: 28.40
Episode 30171, Reward: -130.50, Average Reward: -32.63, Loss: 0.64, value_loss: 20.73
Episode 30172, Reward: -180.72, Average Reward: -22.59, Loss: -436.72, value_loss: 677.12
Episode 30173, Reward: -282.70, Average Reward: -40.39, Loss: 1.36, value_loss: 23.29
Episode 30179, Reward: -43.70, Average Reward: -21.85, Loss: 341.40, value_loss: 669.41
Episode 30180, Reward: 27.90, Average Reward: 3.99, Loss: 297.33, value_loss: 583.06
Episode 30181, Reward: -285.40, Average Reward: -57.08, Loss: 2.78, value_loss: 19.11
Episode 30183, Reward: -30.63, Average Reward: -4.38, Loss: 201.09, value_loss: 386.31
Episode 30185, Reward: 33.00, Average Reward: 16.50, Loss: 633.69, value_loss: 1233.59
Episode 30186, Reward: -94.50, Average Reward: -31.50, Loss: 4.15, value_loss: 20.02
Episode 30188, Reward: -92.00, Average Reward: -46.00, Loss: 18.54, value_loss: 90.18
Episode 30190, Reward: -39.00, Average Reward: -6.50, Loss: 139.80, value_loss: 329.58
Episode 30195, Reward: -18.82, Average Reward: -9.41, Loss: 736.87, value_loss: 1615.29
Episode 30198, Reward: -187.20, Average Reward: -46.80, Loss: -219.39, value_loss: 186.14
Episode 30199, Reward: -238.70, Average Reward: -34.10, Loss: 12.29, value_loss: 59.92
Episode 30201, Reward: -1.50, Average Reward: -0.19, Loss: 241.03, value_loss: 496.64
Episode 30203, Reward: 68.39, Average Reward: 11.40, Loss: 390.57, value_loss: 763.97
Episode 30206, Reward: -196.41, Average Reward: -24.55, Loss: 12.06, value_loss: 35.28
Episode 30208, Reward: -64.81, Average Reward: -16.20, Loss: 184.62, value_loss: 363.02
Episode 30222, Reward: -238.32, Average Reward: -23.83, Loss: 25.83, value_loss: 52.05
Episode 30223, Reward: 33.69, Average Reward: 3.37, Loss: 16.40, value_loss: 55.78
Episode 30226, Reward: -494.11, Average Reward: -54.90, Loss: 5.64, value_loss: 16.67
Episode 30227, Reward: -215.60, Average Reward: -26.95, Loss: 12.86, value_loss: 37.53
Episode 30228, Reward: 39.50, Average Reward: 13.17, Loss: 666.07, value_loss: 1277.42
Episode 30231, Reward: -302.07, Average Reward: -33.56, Loss: 18.17, value_loss: 46.60
Episode 30233, Reward: -89.50, Average Reward: -14.92, Loss: 340.35, value_loss: 718.03
Episode 30234, Reward: -321.50, Average Reward: -35.72, Loss: 6.13, value_loss: 49.60
Episode 30235, Reward: -427.00, Average Reward: -47.44, Loss: 1.37, value_loss: 19.77
Episode 30240, Reward: -30.30, Average Reward: -15.15, Loss: 328.72, value_loss: 642.77
Episode 30242, Reward: 0.70, Average Reward: 0.14, Loss: 143.93, value_loss: 276.10
Episode 30243, Reward: -50.40, Average Reward: -12.60, Loss: 5.49, value_loss: 30.72
Episode 30245, Reward: -236.10, Average Reward: -78.70, Loss: 9.69, value_loss: 100.19
Episode 30246, Reward: -222.60, Average Reward: -55.65, Loss: 0.63, value_loss: 30.09
Episode 30249, Reward: 41.99, Average Reward: 4.20, Loss: 241.11, value_loss: 492.81
Episode 30252, Reward: -79.93, Average Reward: -15.99, Loss: 51.53, value_loss: 120.86
Episode 30254, Reward: 48.00, Average Reward: 16.00, Loss: 758.69, value_loss: 1500.24
Episode 30255, Reward: -17.20, Average Reward: -2.87, Loss: 375.88, value_loss: 744.73
Episode 30257, Reward: 2.47, Average Reward: 0.27, Loss: 304.79, value_loss: 603.40
Episode 30258, Reward: -92.20, Average Reward: -15.37, Loss: 9.05, value_loss: 28.73
Episode 30259, Reward: -170.30, Average Reward: -17.03, Loss: 133.53, value_loss: 285.56
Episode 30264, Reward: 48.30, Average Reward: 9.66, Loss: 364.58, value_loss: 714.83
Episode 30265, Reward: 35.64, Average Reward: 5.09, Loss: 279.62, value_loss: 550.03
Episode 30266, Reward: 14.03, Average Reward: 1.75, Loss: 249.25, value_loss: 506.31
Episode 30269, Reward: -6.70, Average Reward: -1.67, Loss: 165.95, value_loss: 323.38
Episode 30270, Reward: -266.04, Average Reward: -33.26, Loss: -23.23, value_loss: 275.52
Episode 30271, Reward: -245.60, Average Reward: -61.40, Loss: -0.27, value_loss: 17.62
Episode 30272, Reward: -236.90, Average Reward: -78.97, Loss: -21.92, value_loss: 27.69
Episode 30273, Reward: -79.30, Average Reward: -15.86, Loss: 7.97, value_loss: 32.72
Episode 30275, Reward: -16.10, Average Reward: -5.37, Loss: 222.41, value_loss: 434.23
Episode 30277, Reward: -152.30, Average Reward: -50.77, Loss: -0.22, value_loss: 21.20
Episode 30278, Reward: -14.30, Average Reward: -7.15, Loss: 367.84, value_loss: 712.71
Episode 30282, Reward: 36.81, Average Reward: 5.26, Loss: 553.71, value_loss: 1075.73
Episode 30287, Reward: -319.60, Average Reward: -31.96, Loss: 319.66, value_loss: 634.44
Episode 30288, Reward: -1.10, Average Reward: -0.27, Loss: 265.10, value_loss: 558.17
Episode 30289, Reward: 26.20, Average Reward: 13.10, Loss: 580.28, value_loss: 1139.34
Episode 30296, Reward: -452.20, Average Reward: -75.37, Loss: -6.77, value_loss: 25.41
Episode 30298, Reward: -202.70, Average Reward: -22.52, Loss: 7.76, value_loss: 28.64
Episode 30299, Reward: -93.10, Average Reward: -46.55, Loss: 378.40, value_loss: 736.38
Episode 30301, Reward: 16.10, Average Reward: 8.05, Loss: 263.09, value_loss: 511.96
Episode 30302, Reward: -244.70, Average Reward: -27.19, Loss: 11.77, value_loss: 34.46
Episode 30303, Reward: -151.70, Average Reward: -50.57, Loss: 10.52, value_loss: 39.18
Episode 30304, Reward: 116.48, Average Reward: 12.94, Loss: 483.11, value_loss: 954.48
Episode 30306, Reward: -125.20, Average Reward: -25.04, Loss: 18.84, value_loss: 75.42
Episode 30307, Reward: -117.82, Average Reward: -14.73, Loss: 329.69, value_loss: 675.59
Episode 30308, Reward: 78.30, Average Reward: 8.70, Loss: 406.05, value_loss: 788.86
Episode 30309, Reward: -308.30, Average Reward: -44.04, Loss: 1.50, value_loss: 35.64
Episode 30310, Reward: -119.80, Average Reward: -59.90, Loss: -10.94, value_loss: 20.88
Episode 30311, Reward: -237.40, Average Reward: -59.35, Loss: -5.94, value_loss: 23.80
Episode 30312, Reward: -85.90, Average Reward: -17.18, Loss: 129.88, value_loss: 252.62
Episode 30314, Reward: -133.56, Average Reward: -13.36, Loss: 26.20, value_loss: 54.88
Episode 30317, Reward: -311.90, Average Reward: -44.56, Loss: 2.12, value_loss: 22.07
Episode 30320, Reward: -249.36, Average Reward: -62.34, Loss: 9.97, value_loss: 187.32
Episode 30322, Reward: -38.55, Average Reward: -3.86, Loss: 15.51, value_loss: 67.58
Episode 30325, Reward: -383.95, Average Reward: -38.39, Loss: 6.80, value_loss: 32.81
Episode 30328, Reward: -172.87, Average Reward: -17.29, Loss: 19.95, value_loss: 37.71
Episode 30329, Reward: 113.60, Average Reward: 18.93, Loss: 544.93, value_loss: 1052.04
Episode 30330, Reward: -45.60, Average Reward: -15.20, Loss: 422.83, value_loss: 807.57
Episode 30331, Reward: -18.10, Average Reward: -4.53, Loss: 484.61, value_loss: 955.52
Episode 30333, Reward: -116.00, Average Reward: -29.00, Loss: 3.40, value_loss: 31.30
Episode 30335, Reward: -21.70, Average Reward: -4.34, Loss: 1.26, value_loss: 50.20
Episode 30337, Reward: -454.50, Average Reward: -64.93, Loss: 7.77, value_loss: 48.21
