Episode 1, Reward: -632.90, Average Reward: -90.41, Loss: -5.19, value_loss: 1347.31
Episode 2, Reward: -537.40, Average Reward: -89.57, Loss: -94.90, value_loss: 709.04
Episode 3, Reward: -502.70, Average Reward: -83.78, Loss: -59.97, value_loss: 342.26
Episode 4, Reward: -423.00, Average Reward: -84.60, Loss: -52.47, value_loss: 299.18
Episode 5, Reward: -631.80, Average Reward: -90.26, Loss: -43.61, value_loss: 264.35
Episode 6, Reward: -406.90, Average Reward: -101.73, Loss: -45.45, value_loss: 300.23
Episode 7, Reward: -572.70, Average Reward: -95.45, Loss: 40.10, value_loss: 253.74
Episode 8, Reward: -181.30, Average Reward: -90.65, Loss: 117.29, value_loss: 156.85
Episode 9, Reward: -745.00, Average Reward: -93.12, Loss: 92.24, value_loss: 173.40
Episode 10, Reward: -729.80, Average Reward: -104.26, Loss: 83.87, value_loss: 222.97
Episode 11, Reward: -265.80, Average Reward: -88.60, Loss: 255.20, value_loss: 66.27
Episode 12, Reward: -767.61, Average Reward: -109.66, Loss: 90.27, value_loss: 202.08
Episode 13, Reward: -170.20, Average Reward: -85.10, Loss: 299.88, value_loss: 44.73
Episode 14, Reward: -355.00, Average Reward: -88.75, Loss: 267.77, value_loss: 51.05
Episode 15, Reward: -835.40, Average Reward: -92.82, Loss: 147.91, value_loss: 46.50
Episode 16, Reward: -818.10, Average Reward: -90.90, Loss: 102.75, value_loss: 39.76
Episode 17, Reward: -181.50, Average Reward: -90.75, Loss: 97.24, value_loss: 36.95
Episode 18, Reward: -877.42, Average Reward: -109.68, Loss: 27.13, value_loss: 142.34
Episode 19, Reward: -795.10, Average Reward: -88.34, Loss: 210.55, value_loss: 41.78
Episode 20, Reward: -623.30, Average Reward: -89.04, Loss: 166.91, value_loss: 31.80
Episode 21, Reward: -756.60, Average Reward: -94.57, Loss: 79.19, value_loss: 43.25
Episode 22, Reward: -534.70, Average Reward: -89.12, Loss: 60.09, value_loss: 39.95
Episode 23, Reward: -735.90, Average Reward: -91.99, Loss: 94.27, value_loss: 25.40
Episode 24, Reward: -695.24, Average Reward: -99.32, Loss: 55.66, value_loss: 38.75
Episode 25, Reward: -913.78, Average Reward: -101.53, Loss: 38.10, value_loss: 53.00
Episode 26, Reward: -550.00, Average Reward: -91.67, Loss: 157.19, value_loss: 35.31
Episode 27, Reward: -464.10, Average Reward: -92.82, Loss: 163.09, value_loss: 33.14
Episode 28, Reward: -727.80, Average Reward: -90.97, Loss: 96.99, value_loss: 27.98
Episode 29, Reward: -974.80, Average Reward: -97.48, Loss: 63.15, value_loss: 28.20
Episode 30, Reward: -291.40, Average Reward: -97.13, Loss: 79.06, value_loss: 16.87
Episode 31, Reward: -932.90, Average Reward: -93.29, Loss: 124.85, value_loss: 20.43
Episode 32, Reward: -470.70, Average Reward: -94.14, Loss: 98.23, value_loss: 18.34
Episode 33, Reward: -187.40, Average Reward: -93.70, Loss: 64.41, value_loss: 17.73
Episode 34, Reward: -195.30, Average Reward: -97.65, Loss: 83.97, value_loss: 26.33
Episode 35, Reward: -747.80, Average Reward: -93.47, Loss: 94.04, value_loss: 22.61
Episode 36, Reward: -814.90, Average Reward: -90.54, Loss: 85.18, value_loss: 26.23
Episode 37, Reward: -911.30, Average Reward: -91.13, Loss: 106.22, value_loss: 20.13
Episode 38, Reward: -795.12, Average Reward: -99.39, Loss: 65.51, value_loss: 52.66
Episode 39, Reward: -815.05, Average Reward: -101.88, Loss: 44.66, value_loss: 37.47
Episode 40, Reward: -961.11, Average Reward: -106.79, Loss: 69.48, value_loss: 55.26
Episode 41, Reward: -186.20, Average Reward: -93.10, Loss: 246.86, value_loss: 47.11
